"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","kingdom","phylum","class","order"
"EC:2.7.7.7","EC:2.7.7.7",47,3043,0.000299653845955135,0,1.307422980815,"M5","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.7"
"EC:1.6.5.3","EC:1.6.5.3",76,2347,0.000365178109242391,9.74254735161869e-16,1.28099364468827,"M3","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With a quinone or similar compound as acceptor.","o__EC:1.6.5.3"
"EC:3.6.4.12","EC:3.6.4.12",19,824,0.000328528625924612,0,1.18121658456925,"M3","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on ATP; involved in cellular and subcellular movement.","o__EC:3.6.4.12"
"EC:2.7.13.3","EC:2.7.13.3",21,5098,0.000321343729474657,0,0.973562667861055,"M3","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Protein-histidine kinases.","o__EC:2.7.13.3"
"EC:1.1.1.100","EC:1.1.1.100",17,1554,0.000325676546965617,0,0.778261474156798,"M3","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.100"
"EC:2.7.11.1","EC:2.7.11.1",14,1956,0.000325393807620648,0,0.66559809978104,"M2","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Protein-serine/threonine kinases.","o__EC:2.7.11.1"
"EC:5.2.1.8","EC:5.2.1.8",176,7749,0.000412359458505127,0,0.564093026456819,"M1","k__Isomerases.","p__Cis-trans-isomerases.","c__Cis-trans isomerases.","o__EC:5.2.1.8"
"EC:1.9.3.1","EC:1.9.3.1",26,1889,0.00035599653813069,0,0.545416896903806,"M1","k__Oxidoreductases.","p__Acting on a heme group of donors.","c__With oxygen as acceptor.","o__EC:1.9.3.1"
"EC:2.7.7.6","EC:2.7.7.6",49,3822,0.000339415745185636,0,0.531854486872322,"M1","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.6"
"EC:2.3.1.9","EC:2.3.1.9",59,2683,0.000343425514304984,8.28500089743951e-16,0.487247040646544,"M2","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.9"
"EC:1.2.4.1","EC:1.2.4.1",61,16823,0.000390359408706997,6.13703770180705e-17,0.479567535922642,"M2","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With a disulfide as acceptor.","o__EC:1.2.4.1"
"EC:4.2.1.17","EC:4.2.1.17",27,2308,0.000344693111602559,0,0.451608877049937,"M1","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.17"
"EC:4.2.99.18","EC:4.2.99.18",84,1182,0.000354044834628561,8.59185278252987e-16,0.423810336857572,"M2","k__Lyases.","p__Carbon-oxygen lyases.","c__Other carbon-oxygen lyases.","o__EC:4.2.99.18"
"EC:2.2.1.6","EC:2.2.1.6",7,703,0.000312140069920054,0,0.419833228986598,"M2","k__Transferases.","p__Transferring aldehyde or ketonic groups.","c__Transketolases and transaldolases.","o__EC:2.2.1.6"
"EC:1.2.99.2","EC:1.2.99.2",8,79,0.000311318485779531,0,0.394662457424473,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With other acceptors.","o__EC:1.2.99.2"
