"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","kingdom","phylum","class","order"
"EC:2.7.7.7","EC:2.7.7.7",12,25,0.000205263823370524,4.64136280412921e-17,1.307422980815,"M5","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.7"
"EC:1.6.5.3","EC:1.6.5.3",25,7386,0.000307223631919263,1.23769674776779e-16,1.28099364468827,"M1","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With a quinone or similar compound as acceptor.","o__EC:1.6.5.3"
"EC:3.6.4.12","EC:3.6.4.12",2,489,0.000195129780520639,2.12729128522589e-17,1.18121658456925,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on ATP; involved in cellular and subcellular movement.","o__EC:3.6.4.12"
"EC:2.7.13.3","EC:2.7.13.3",1,0,1.24566783129521,5.80170350516151e-18,0.973562667861055,"M29","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Protein-histidine kinases.","o__EC:2.7.13.3"
"EC:1.1.1.100","EC:1.1.1.100",1,0,0.00021438818461228,5.80170350516151e-18,0.778261474156798,"M1","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.100"
"EC:2.7.11.1","EC:2.7.11.1",0,0,NA,9.66950584193586e-18,0.66559809978104,"M367","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Protein-serine/threonine kinases.","o__EC:2.7.11.1"
"EC:5.2.1.8","EC:5.2.1.8",49,11498,0.00035352597663649,3.71309024330337e-16,0.564093026456819,"M1","k__Isomerases.","p__Cis-trans-isomerases.","c__Cis-trans isomerases.","o__EC:5.2.1.8"
"EC:1.9.3.1","EC:1.9.3.1",1,0,0.000252563811502832,3.86780233677434e-18,0.545416896903806,"M1","k__Oxidoreductases.","p__Acting on a heme group of donors.","c__With oxygen as acceptor.","o__EC:1.9.3.1"
"EC:2.7.7.6","EC:2.7.7.6",16,11203,0.000280596979963396,1.39240884123876e-16,0.531854486872322,"M2","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.6"
"EC:2.3.1.9","EC:2.3.1.9",10,1055,0.000274480019421803,1.54712093470974e-17,0.487247040646544,"M1","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.9"
"EC:1.2.4.1","EC:1.2.4.1",9,7007,0.000298200381582241,6.96204420619382e-17,0.479567535922642,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With a disulfide as acceptor.","o__EC:1.2.4.1"
"EC:4.2.1.17","EC:4.2.1.17",2,0,0.290500832779724,1.1603407010323e-17,0.451608877049937,"M24","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.17"
"EC:4.2.99.18","EC:4.2.99.18",31,6836,0.000279897257886311,3.09424186941947e-17,0.423810336857572,"M1","k__Lyases.","p__Carbon-oxygen lyases.","c__Other carbon-oxygen lyases.","o__EC:4.2.99.18"
"EC:2.2.1.6","EC:2.2.1.6",2,282,0.000194444033342228,1.74051105154845e-17,0.419833228986598,"M2","k__Transferases.","p__Transferring aldehyde or ketonic groups.","c__Transketolases and transaldolases.","o__EC:2.2.1.6"
"EC:1.2.99.2","EC:1.2.99.2",0,0,NA,9.66950584193586e-18,0.394662457424473,"M368","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With other acceptors.","o__EC:1.2.99.2"
"EC:3.6.1.27","EC:3.6.1.27",21,10737,0.000332439140519515,1.23769674776779e-16,0.382526899619027,"M2","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.27"
"EC:5.1.3.2","EC:5.1.3.2",0,0,NA,9.66950584193586e-18,0.374458499522324,"M369","k__Isomerases.","p__Racemases and epimerases.","c__Acting on carbohydrates and derivatives.","o__EC:5.1.3.2"
"EC:3.6.3.17","EC:3.6.3.17",4,3350,0.000225417474834943,1.1603407010323e-17,0.366123590390221,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.17"
"EC:5.4.2.12","EC:5.4.2.12",5,1384,0.000215481026609513,3.09424186941947e-17,0.345311423320072,"M1","k__Isomerases.","p__Intramolecular transferases.","c__Phosphotransferases (phosphomutases).","o__EC:5.4.2.12"
"EC:3.6.3.14","EC:3.6.3.14",0,0,NA,9.66950584193586e-18,0.344346063379321,"M370","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.14"
"EC:2.8.1.7","EC:2.8.1.7",2,0,0.000217726110721232,5.80170350516151e-18,0.342522295053829,"M3","k__Transferases.","p__Transferring sulfur-containing groups.","c__Sulfurtransferases.","o__EC:2.8.1.7"
"EC:3.4.16.4","EC:3.4.16.4",13,5333,0.000308412929086786,7.73560467354869e-17,0.341755971712325,"M1","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Serine-type carboxypeptidases.","o__EC:3.4.16.4"
"EC:1.1.1.1","EC:1.1.1.1",2,0,0.00021073082219397,9.66950584193586e-18,0.329374112549183,"M1","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.1"
"EC:1.3.5.4","EC:1.3.5.4",3,944,0.000222126026854084,2.32068140206461e-17,0.324025412956431,"M1","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a quinone or related compound as acceptor.","o__EC:1.3.5.4"
"EC:1.3.5.1","EC:1.3.5.1",1,0,0.000185139133931321,1.93390116838717e-18,0.31453267749543,"M1","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a quinone or related compound as acceptor.","o__EC:1.3.5.1"
"EC:5.4.99.2","EC:5.4.99.2",9,2438,0.000283216789758257,6.18848373883895e-17,0.305581331708211,"M1","k__Isomerases.","p__Intramolecular transferases.","c__Transferring other groups.","o__EC:5.4.99.2"
"EC:3.6.3.34","EC:3.6.3.34",10,2383,0.00029597227877402,7.73560467354869e-17,0.297931459847832,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.34"
"EC:1.8.1.4","EC:1.8.1.4",9,3640,0.000288703989577808,7.73560467354869e-17,0.286494045381361,"M1","k__Oxidoreductases.","p__Acting on a sulfur group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.8.1.4"
"EC:4.2.1.20","EC:4.2.1.20",5,0,0.000271515229695442,2.32068140206461e-17,0.285869739500478,"M2","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.20"
"EC:3.6.4.13","EC:3.6.4.13",16,3742,0.000313168674944555,7.73560467354869e-17,0.282753597730343,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on ATP; involved in cellular and subcellular movement.","o__EC:3.6.4.13"
"EC:3.1.4.46","EC:3.1.4.46",10,17329,0.000308663150429848,6.18848373883895e-17,0.282382498901798,"M2","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric diester hydrolases.","o__EC:3.1.4.46"
"EC:1.3.8.7","EC:1.3.8.7",3,390,0.000207610088836121,1.54712093470974e-17,0.27846849217441,"M1","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a flavin as acceptor.","o__EC:1.3.8.7"
"EC:3.1.26.4","EC:3.1.26.4",5,1276,0.000251533450654895,3.86780233677434e-17,0.275652609622132,"M3","k__Hydrolases.","p__Acting on ester bonds.","c__Endoribonucleases producing 5'-phosphomonoesters.","o__EC:3.1.26.4"
"EC:4.2.1.33","EC:4.2.1.33",8,0,0.000252392006018488,3.86780233677434e-17,0.27487076257745,"M2","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.33"
"EC:2.1.1.72","EC:2.1.1.72",0,0,NA,9.66950584193586e-18,0.274428689279589,"M371","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.72"
"EC:4.2.1.35","EC:4.2.1.35",9,0,0.00025259566631786,4.64136280412921e-17,0.273963158735646,"M2","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.35"
"EC:4.1.99.18","EC:4.1.99.18",0,0,NA,9.66950584193586e-18,0.272582060620086,"M372","k__Lyases.","p__Carbon-carbon lyases.","c__Other carbon-carbon lyases.","o__EC:4.1.99.18"
"EC:1.8.1.9","EC:1.8.1.9",8,1,0.000282969273033684,1.54712093470974e-17,0.271335486937931,"M1","k__Oxidoreductases.","p__Acting on a sulfur group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.8.1.9"
"EC:4.3.3.7","EC:4.3.3.7",2,155,0.000185009485250933,5.80170350516151e-18,0.270964874354197,"M2","k__Lyases.","p__Carbon-nitrogen lyases.","c__Amine-lyases.","o__EC:4.3.3.7"
"EC:2.3.1.51","EC:2.3.1.51",13,372,0.000276361849368746,7.73560467354869e-17,0.266162412715527,"M1","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.51"
"EC:1.2.1.3","EC:1.2.1.3",9,1393,0.000257423646930737,3.09424186941947e-17,0.265906924764347,"M1","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.2.1.3"
"EC:1.11.1.15","EC:1.11.1.15",0,0,NA,9.66950584193586e-18,0.265865071633698,"M373","k__Oxidoreductases.","p__Acting on a peroxide as acceptor.","c__Peroxidases.","o__EC:1.11.1.15"
"EC:3.1.11.6","EC:3.1.11.6",0,0,NA,9.66950584193586e-18,0.259407325485106,"M374","k__Hydrolases.","p__Acting on ester bonds.","c__Exodeoxyribonucleases producing 5'-phosphomonoesters.","o__EC:3.1.11.6"
"EC:3.2.1.21","EC:3.2.1.21",2,36,0.000205053562512094,1.54712093470974e-17,0.258986428831256,"M1","k__Hydrolases.","p__Glycosylases.","c__Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.","o__EC:3.2.1.21"
"EC:3.5.1.4","EC:3.5.1.4",2,944,0.000191496423653842,9.66950584193586e-18,0.255768819914807,"M1","k__Hydrolases.","p__Acting on carbon-nitrogen bonds, other than peptide bonds.","c__In linear amides.","o__EC:3.5.1.4"
"EC:3.6.1.1","EC:3.6.1.1",0,0,NA,9.66950584193586e-18,0.252889275252877,"M375","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.1"
"EC:1.4.1.13","EC:1.4.1.13",15,794.5,0.00026963911908169,1.08298465429682e-16,0.252055767434299,"M2","k__Oxidoreductases.","p__Acting on the CH-NH2 group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.4.1.13"
"EC:1.4.1.14","EC:1.4.1.14",15,794.5,0.00026963911908169,7.73560467354869e-17,0.252055767434299,"M2","k__Oxidoreductases.","p__Acting on the CH-NH2 group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.4.1.14"
"EC:4.1.3.27","EC:4.1.3.27",1,0,0.000198077680407353,6.7686540893551e-18,0.250756846614463,"M1","k__Lyases.","p__Carbon-carbon lyases.","c__Oxo-acid-lyases.","o__EC:4.1.3.27"
"EC:1.17.4.1","EC:1.17.4.1",0,0,NA,9.66950584193586e-18,0.248999195878743,"M376","k__Oxidoreductases.","p__Acting on CH or CH2 groups.","c__With a disulfide as acceptor.","o__EC:1.17.4.1"
"EC:2.3.1.128","EC:2.3.1.128",17,5877,0.000288301283324269,7.73560467354869e-17,0.24694555923408,"M1","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.128"
"EC:2.5.1.47","EC:2.5.1.47",0,0,NA,9.66950584193586e-18,0.246849643965823,"M377","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.47"
"EC:2.7.7.4","EC:2.7.7.4",0,0,NA,9.66950584193586e-18,0.24668243946412,"M378","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.4"
"EC:3.6.1.55","EC:3.6.1.55",17,3645,0.000294443779936998,7.73560467354869e-17,0.245251422363333,"M1","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.55"
"EC:2.6.1.42","EC:2.6.1.42",0,0,NA,9.66950584193586e-18,0.23290234630147,"M379","k__Transferases.","p__Transferring nitrogenous groups.","c__Transaminases.","o__EC:2.6.1.42"
"EC:3.4.21.92","EC:3.4.21.92",22,21725,0.000304074125721781,1.54712093470974e-16,0.231094743316288,"M1","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Serine endopeptidases.","o__EC:3.4.21.92"
"EC:2.3.3.13","EC:2.3.3.13",20,32536,0.00034439627593965,6.18848373883895e-17,0.229001355417514,"M1","k__Transferases.","p__Acyltransferases.","c__Acyl groups converted into alkyl groups on transfer.","o__EC:2.3.3.13"
"EC:2.6.1.9","EC:2.6.1.9",23,845,0.000278014040473109,3.09424186941947e-17,0.225831261497473,"M1","k__Transferases.","p__Transferring nitrogenous groups.","c__Transaminases.","o__EC:2.6.1.9"
"EC:1.1.1.95","EC:1.1.1.95",0,0,NA,9.66950584193586e-18,0.225499727293512,"M380","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.95"
"EC:2.7.1.2","EC:2.7.1.2",0,0,NA,9.66950584193586e-18,0.224713910855425,"M381","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Phosphotransferases with an alcohol group as acceptor.","o__EC:2.7.1.2"
"EC:1.6.99.3","EC:1.6.99.3",0,0,NA,9.66950584193586e-18,0.224349022660707,"M382","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With other acceptors.","o__EC:1.6.99.3"
"EC:3.1.3.25","EC:3.1.3.25",2,944,0.000238504313895243,1.54712093470974e-17,0.223426873209517,"M1","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric monoester hydrolases.","o__EC:3.1.3.25"
"EC:2.5.1.18","EC:2.5.1.18",24,648,0.000290923064324413,1.85654512165168e-16,0.222579737556329,"M2","k__Transferases.","p__Transferring alkyl or aryl groups, other than methyl groups.","c__Transferring alkyl or aryl groups, other than methyl groups.","o__EC:2.5.1.18"
"EC:2.2.1.1","EC:2.2.1.1",0,0,NA,9.66950584193586e-18,0.222349510953794,"M383","k__Transferases.","p__Transferring aldehyde or ketonic groups.","c__Transketolases and transaldolases.","o__EC:2.2.1.1"
"EC:2.3.3.1","EC:2.3.3.1",5,2859,0.000292663787640078,3.86780233677434e-17,0.221839491126566,"M1","k__Transferases.","p__Acyltransferases.","c__Acyl groups converted into alkyl groups on transfer.","o__EC:2.3.3.1"
"EC:4.3.1.19","EC:4.3.1.19",0,0,NA,9.66950584193586e-18,0.220918263996909,"M384","k__Lyases.","p__Carbon-nitrogen lyases.","c__Ammonia-lyases.","o__EC:4.3.1.19"
